"","alspac_coef","alspac_se","alspac_lci","alspac_uci","bib_white_british_coef","bib_white_british_se","bib_white_british_lci","bib_white_british_uci","bib_south_asians_coef","bib_south_asians_se","bib_south_asians_lci","bib_south_asians_uci","mcs_coef","mcs_se","mcs_lci","mcs_uci"
"pSmoke.pSEP.beta",-0.608237347246407,0.0242035571909821,-0.655676319340731,-0.560798375152082,-0.705348727000297,0.0669899825875967,-0.836649092871987,-0.574048361128608,-0.411771318002399,0.0601950256460135,-0.529753568268586,-0.293789067736213,-0.55709606272948,0.0190801493106617,-0.594493155378377,-0.519698970080583
"pBMI.pSmoke.beta",-0.0605757772208549,0.0247845788489794,-0.109153551764855,-0.0119980026768551,-0.477592488331921,0.0584434969749292,-0.592141742402782,-0.363043234261059,-0.16399256806661,0.0648312139108326,-0.291061747331841,-0.0369233888013778,-0.29988317244273,0.0189114380661098,-0.336949591052306,-0.262816753833155
"pBMI.pSEP.beta",-0.082851136728205,0.0108363783917435,-0.104090438376022,-0.0616118350803877,0.0724954277734575,0.0285034074800718,0.0166287491125167,0.128362106434398,-0.0105518747982146,0.0277771515918013,-0.0649950919181452,0.043891342321716,0.00755272841820741,0.00832769466171639,-0.00876955311875671,0.0238750099551715
"pBMI.pSmoke_pSEP.beta",-0.105375761158951,0.0264193028250069,-0.157157594695964,-0.0535939276219375,-0.437239461195033,0.0674354802570732,-0.569413002498897,-0.30506591989117,-0.159877009071176,0.0698492107536333,-0.296781462148297,-0.022972555994055,-0.322459431727445,0.0200216942696734,-0.361701952496005,-0.283216910958885
"oBW.pBMI.beta",0.0610465537309745,0.0105845956938553,0.0403007461710181,0.081792361290931,0.0604225287782973,0.0261611128796261,0.00914674753423008,0.111698310022364,0.0223339297920577,0.0310157784483116,-0.0384569959666331,0.0831248555507486,0.0534511021297778,0.00881654605886182,0.0361706718544086,0.070731532405147
"oBW.pSmoke.beta",-0.177316739279203,0.0212981446894598,-0.219061102870544,-0.135572375687862,-0.208210584744408,0.0511624997050974,-0.308489084166399,-0.107932085322417,-0.0168218281504805,0.0624796812348245,-0.139282003370737,0.105638347069775,-0.208280076524752,0.0186715268638293,-0.244876269177857,-0.171683883871646
"oBW.pSmoke_pBMI.beta",-0.15523267721603,0.0233640172535588,-0.201026151033005,-0.109439203399055,-0.177025353598561,0.0573467269922215,-0.289424938503315,-0.0646257686938069,0.0201187418312339,0.0697111417904492,-0.116515096078046,0.156752579740514,-0.200108087992403,0.0190649727019668,-0.237475434488258,-0.162740741496548
"mSmoke.mSEP.beta",-0.691691737493427,0.0264886345183843,-0.74360946114946,-0.639774013837394,-0.839332935592059,0.0386973749038044,-0.915179790403515,-0.763486080780602,-0.160758966920251,0.0670156407354126,-0.292109622761659,-0.0294083110788421,-0.64466102324298,0.0191827063093563,-0.682259127609319,-0.607062918876642
"mBMI.mSmoke.beta",-0.0517256781187951,0.0219320418733315,-0.0947124801905248,-0.00873887604706533,-0.167000611212505,0.0328914135212095,-0.231467781714076,-0.102533440710935,0.0187842349554251,0.0772918594021578,-0.132707809472804,0.170276279383654,-0.152110900787573,0.0185888753735581,-0.188545096519747,-0.115676705055399
"mBMI.mSEP.beta",-0.113267019598924,0.0102407672007995,-0.133338923312491,-0.093195115885357,0.00981110284021282,0.0155695510315496,-0.0207052171816245,0.0403274228620501,-0.0992685090002706,0.0119259478276355,-0.122643366742436,-0.0758936512581051,-0.000787115531281278,0.00727657652652646,-0.0150492055232731,0.0134749744607106
"mBMI.mSmoke_mSEP.beta",-0.116126938600905,0.023071532064925,-0.161347141448158,-0.0709067357536521,-0.168512873219116,0.0370634766570953,-0.241157287467022,-0.0958684589712089,-0.0136729260363288,0.0780048665624674,-0.166562464498765,0.139216612426107,-0.172219719318153,0.0195980385832829,-0.210631874941388,-0.133807563694919
"oBW.mBMI.beta",0.141699677385604,0.00899572927791186,0.124068048000897,0.159331306770311,0.189133773293157,0.0152047412375855,0.159332480467489,0.218935066118825,0.180371082117411,0.0134047341090011,0.154097803263769,0.206644360971053,0.130252289774877,0.00763248686939058,0.115292615510872,0.145211964038883
"oBW.mSmoke.beta",-0.339488452689939,0.0188653771178066,-0.37646459184084,-0.302512313539039,-0.424887854372089,0.0314212937917579,-0.486473590203934,-0.363302118540243,-0.195487008306982,0.0757141637550785,-0.343886769266936,-0.0470872473470282,-0.38496454063944,0.0176459178466015,-0.419550539618779,-0.350378541660101
"oBW.mSmoke_mBMI.beta",-0.309724563456015,0.0202463499153649,-0.34940740929013,-0.2700417176219,-0.417372549717366,0.0317172315151629,-0.479538323487085,-0.355206775947646,-0.196837782586943,0.0760317864704227,-0.345860084068971,-0.0478154811049143,-0.392903968906447,0.0181312845193898,-0.428441286564451,-0.357366651248443
"pParticipation.mSEP.beta",0.324291230821893,0.0274950012187461,0.27040102843315,0.378181433210635,0.208225852317379,0.0314332773033571,0.146616628802799,0.269835075831959,0.151810948075717,0.0278545792116486,0.097215972820886,0.206405923330549,0.502687009816751,0.0166619818441026,0.47002952540231,0.535344494231192
